"GJK_Browscap_Version","GJK_Browscap_Version"
"5029","Thu, 08 May 2014 07:17:44 +0000"
"PropertyName","AgentID","MasterParent","LiteMode","Parent","Comment","Browser","Version","MajorVer","MinorVer","Platform","Platform_Version","Alpha","Beta","Win16","Win32","Win64","Frames","IFrames","Tables","Cookies","BackgroundSounds","JavaScript","VBScript","JavaApplets","ActiveXControls","isMobileDevice","isTablet","isSyndicationReader","Crawler","CssVersion","AolVersion"
"Mozilla/5.0 (*Linux*Android 4.1** Build/*) AppleWebKit/* (KHTML,*like Gecko*) Version/4.0*Safari/*","19897","false","true","Android Browser 4.0","Android Browser 4.0","Android","4.0","4","0","Android","4.1","false","false","false","false","false","true","true","true","true","false","true","false","false","false","true","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*) Gecko/* Firefox/24.0*","40579","false","true","Firefox 24.0","Firefox 24.0","Firefox","24.0","24","0","Win7","6.1","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (iPad*CPU OS 7* like Mac OS X*)*AppleWebKit/*(*KHTML, like Gecko*)*Version/7.0*Mobile/*Safari/*","22468","false","true","Mobile Safari 7.0","Mobile Safari 7.0","Safari","7.0","7","0","iOS","7.0","false","false","false","false","false","true","true","true","true","false","true","false","false","false","true","true","false","false","3","0"
"Mozilla/* (compatible; MSIE 7.0; *Windows NT 6.1*Trident/4.0*)*","44320","false","true","IE 8.0","IE 8.0 in IE 7.0 Compatibility Mode","IE","8.0","8","0","Win7","6.1","false","false","false","true","false","true","true","true","true","true","true","true","true","true","false","false","false","false","2","0"
"Mozilla/* (compatible; MSIE 7.0; *Windows NT 6.1*Trident/5.0*)*","44345","false","true","IE 9.0","IE 9.0 in IE 7.0 Compatibility Mode","IE","9.0","9","0","Win7","6.1","false","false","false","true","false","true","true","true","true","true","true","true","true","true","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*) AppleWebKit/* (KHTML, like Gecko)*Chrome/32.*Safari/*","8326","false","true","Chrome 32.0","Chrome 32.0","Chrome","32.0","32","0","Win7","6.1","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*) AppleWebKit/* (KHTML, like Gecko)*Chrome/32.*Safari/*","8326","false","true","Chrome 32.0","Chrome 32.0","Chrome","32.0","32","0","Win7","6.1","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/* (compatible; MSIE 8.0*; *Windows NT 6.0*Trident/4.0*)*","44300","false","true","IE 8.0","IE 8.0","IE","8.0","8","0","WinVista","6.0","false","false","false","true","false","true","true","true","true","true","true","true","true","true","false","false","false","false","2","0"
"Mozilla/5.0 (*Mac OS X 10_9*) AppleWebKit/* (KHTML, like Gecko) *Version/7.0* Safari/*","25238","false","true","Safari 7.0","Safari 7.0","Safari","7.0","7","0","MacOSX","10.9","false","false","false","false","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 5.1*) AppleWebKit/* (KHTML, like Gecko)*Chrome/19.*Safari/*","3374","false","true","Chrome 19.0","Chrome 19.0","Chrome","19.0","19","0","WinXP","5.1","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 5.1*) Gecko/* Firefox/17.0*","39886","false","true","Firefox 17.0","Firefox 17.0","Firefox","17.0","17","0","WinXP","5.1","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.2*WOW64*) Gecko/* Firefox/29.0*","41073","false","true","Firefox 29.0","Firefox 29.0","Firefox","29.0","29","0","Win8","6.2","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/* (compatible; MSIE 9.0*; *Windows NT 6.0*WOW64*Trident/5.0*","44332","false","true","IE 9.0","IE 9.0","IE","9.0","9","0","WinVista","6.0","false","false","false","false","true","true","true","true","true","true","true","true","true","true","false","false","false","false","3","0"
"Mozilla/5.0 (*Mac OS X 10_8*) AppleWebKit/* (KHTML, like Gecko) *Version/6.1* Safari/*","25199","false","true","Safari 6.1","Safari 6.1","Safari","6.1","6","1","MacOSX","10.8","false","false","false","false","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*) AppleWebKit/* (KHTML, like Gecko)*Chrome/31.*Safari/*","7733","false","true","Chrome 31.0","Chrome 31.0","Chrome","31.0","31","0","Win7","6.1","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 5.1*WOW64*) Gecko/* Firefox/24.0*","40573","false","true","Firefox 24.0","Firefox 24.0","Firefox","24.0","24","0","WinXP","5.1","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.2*WOW64*) AppleWebKit/* (KHTML, like Gecko)*Chrome/34.*Safari/*","9515","false","true","Chrome 34.0","Chrome 34.0","Chrome","34.0","34","0","Win8","6.2","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*) AppleWebKit/* (KHTML, like Gecko)*Chrome/33.*Safari/*","8919","false","true","Chrome 33.0","Chrome 33.0","Chrome","33.0","33","0","Win7","6.1","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Mac OS X 10.9*) Gecko/* Firefox/29.0*","41054","false","true","Firefox 29.0","Firefox 29.0","Firefox","29.0","29","0","MacOSX","10.9","false","false","false","false","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*WOW64*) Gecko/* Firefox/12.0*","39404","false","true","Firefox 12.0","Firefox 12.0","Firefox","12.0","12","0","Win7","6.1","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*WOW64*) AppleWebKit/* (KHTML, like Gecko)*Chrome/28.*Safari/*","6654","false","true","Chrome 28.0","Chrome 28.0","Chrome","28.0","28","0","Win7","6.1","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*) Gecko/* Firefox/14.0*","39599","false","true","Firefox 14.0","Firefox 14.0","Firefox","14.0","14","0","Win7","6.1","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Mac OS X 10_8*) AppleWebKit/* (KHTML, like Gecko)*Chrome/33.*Safari/*","8900","false","true","Chrome 33.0","Chrome 33.0","Chrome","33.0","33","0","MacOSX","10.8","false","false","false","false","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*) AppleWebKit/* (KHTML, like Gecko)*Chrome/24.*Safari/*","4725","false","true","Chrome 24.0","Chrome 24.0","Chrome","24.0","24","0","Win7","6.1","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*) Gecko/* Firefox/28.0*","40971","false","true","Firefox 28.0","Firefox 28.0","Firefox","28.0","28","0","Win7","6.1","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Linux*Android 4.4*) AppleWebKit/* (KHTML, like Gecko)*Chrome/*Safari/*","25426","false","true","Chrome Generic for Android","Chrome Generic","Chrome","0.0","0","0","Android","4.4","false","false","false","false","false","true","true","true","true","false","true","false","true","false","true","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.0*) AppleWebKit/* (KHTML, like Gecko)*Chrome/34.*Safari/*","9510","false","true","Chrome 34.0","Chrome 34.0","Chrome","34.0","34","0","WinVista","6.0","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Mac OS X 10_8*) AppleWebKit/* (KHTML, like Gecko)*Chrome/34.*Safari/*","9493","false","true","Chrome 34.0","Chrome 34.0","Chrome","34.0","34","0","MacOSX","10.8","false","false","false","false","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (iPad*CPU OS 6_1* like Mac OS X*)*AppleWebKit/*(*KHTML, like Gecko*)*Version/6.0*Mobile/*Safari/*","22273","false","true","Mobile Safari 6.0","Mobile Safari 6.0","Safari","6.0","6","0","iOS","6.1","false","false","false","false","false","true","true","true","true","false","true","false","false","false","true","true","false","false","3","0"
"Mozilla/5.0 (iPhone*CPU iPhone OS 5_1* like Mac OS X*)*AppleWebKit/*(*KHTML, like Gecko*)*Version/5.1*Mobile/*Safari/*","22188","false","true","Mobile Safari 5.1","Mobile Safari 5.1","Safari","5.1","5","1","iOS","5.1","false","false","false","false","false","true","true","true","true","false","true","false","false","false","true","false","false","false","3","0"
"Mozilla/*(compatible; MSIE 7.*Windows NT 6.1*Trident/6.0*)*","43883","false","true","IE 10.0","IE 10.0","IE","10.0","10","0","Win7","6.1","false","true","false","true","false","true","true","true","true","true","true","true","true","true","false","false","false","false","3","0"
"Mozilla/5.0 (*Mac OS X 10.7*) Gecko/* Firefox/29.0*","41050","false","true","Firefox 29.0","Firefox 29.0","Firefox","29.0","29","0","MacOSX","10.7","false","false","false","false","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 5.1*) Gecko/* Firefox/29.0*","41062","false","true","Firefox 29.0","Firefox 29.0","Firefox","29.0","29","0","WinXP","5.1","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Mac OS X 10_9*) AppleWebKit/* (KHTML, like Gecko)*Chrome/35.*Safari/*","10088","false","true","Chrome 35.0","Chrome 35.0","Chrome","35.0","35","0","MacOSX","10.9","false","false","false","false","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*WOW64*) AppleWebKit/* (KHTML, like Gecko)*Chrome/35.*Safari/*","10106","false","true","Chrome 35.0","Chrome 35.0","Chrome","35.0","35","0","Win7","6.1","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.2*WOW64*) AppleWebKit/* (KHTML, like Gecko)*Chrome/35.*Safari/*","10108","false","true","Chrome 35.0","Chrome 35.0","Chrome","35.0","35","0","Win8","6.2","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.3*WOW64*) AppleWebKit/* (KHTML, like Gecko)*Chrome/35.*Safari/*","10110","false","true","Chrome 35.0","Chrome 35.0","Chrome","35.0","35","0","Win8.1","6.3","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/* (compatible; MSIE 9.0*; *Windows NT 6.2*WOW64*Trident/5.0*","44337","false","true","IE 9.0","IE 9.0","IE","9.0","9","0","Win8","6.2","false","false","false","false","true","true","true","true","true","true","true","true","true","true","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*WOW64*) AppleWebKit/* (KHTML, like Gecko)*Chrome/30.*Safari/*","7141","false","true","Chrome 30.0","Chrome 30.0","Chrome","30.0","30","0","Win7","6.1","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*) Gecko/* Firefox/25.0*","40677","false","true","Firefox 25.0","Firefox 25.0","Firefox","25.0","25","0","Win7","6.1","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Mac OS X*) AppleWebKit/* (KHTML, like Gecko)*Chrome/35.*Safari/*","10077","false","true","Chrome 35.0","Chrome 35.0","Chrome","35.0","35","0","MacOSX","10","false","false","false","false","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*) AppleWebKit/* (KHTML, like Gecko)*Chrome/35.*Safari/*","10105","false","true","Chrome 35.0","Chrome 35.0","Chrome","35.0","35","0","Win7","6.1","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"*Google Web Preview*","1914","false","false","Google","Google","Google Web Preview","0.0","0","0","","","false","false","false","false","false","true","true","true","false","false","false","false","false","false","false","false","false","true","0","0"
"Mozilla/5.0 (*Windows NT 5.1*) AppleWebKit/* (KHTML, like Gecko)*Chrome/35.*Safari/*","10099","false","true","Chrome 35.0","Chrome 35.0","Chrome","35.0","35","0","WinXP","5.1","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
